Protein,Label,log2FC,SE,DF,pvalue,adj.pvalue,issue
A6NI79,M-Norm,-0.199971819472212,0.208952854865555,20.6051792840864,0.349652611957112,0.99768989811509,NA
A6NIH7,ctrlH-M,0.167041069410137,0.294140646595561,19.6051785389382,0.576552840611919,0.960153241560785,NA
A6NIH7,ctrlH-Norm,-0.0346575490892418,0.294140646595561,19.6051785389295,0.907403972269185,0.999843706217135,NA
A6NIH7,M-Norm,-0.201698618499379,0.240164832257146,19.6051785389382,0.411126411186291,0.99768989811509,NA
A6NIV6,ctrlH-M,-0.255936866314675,0.347518343368883,20.6051780355349,0.469747178830011,0.942516713585552,NA
A6NIV6,ctrlH-Norm,-0.32774521436218,0.347518343368883,20.6051780355349,0.35655624742495,0.999843706217135,NA
A6NIV6,M-Norm,-0.0718083480475045,0.28374753917036,20.605178035543,0.802720852019573,0.99768989811509,NA
A6NJ78,ctrlH-M,-0.104309698152774,0.217513702038821,20.6051806207943,0.636594875265794,0.97137009347756,NA
A6NJ78,ctrlH-Norm,-0.12798593714916,0.217513702038821,20.6051806207943,0.562655995976746,0.999843706217135,NA
A6NJ78,M-Norm,-0.0236762389963863,0.177599194019629,20.605180620793,0.895239442767876,0.99768989811509,NA
A6NJ88,ctrlH-M,-0.323550551400047,0.473027075766153,10.605176955788,0.508645202693506,0.953257423292759,NA
A6NJ88,ctrlH-Norm,-0.999650934391547,0.473027075766153,10.605176955788,0.0591571900332548,0.999843706217135,NA
A6NJ88,M-Norm,-0.6761003829915,0.386224990049304,10.605176955788,0.108854572091672,0.99768989811509,NA
A6NKT7,ctrlH-M,-0.372053857698889,0.418248047352796,20.6051776749694,0.383974097089193,0.933647425157431,NA
A6NKT7,ctrlH-Norm,0.0221851063026195,0.418248047352796,20.6051776749781,0.958208593105022,0.999843706217135,NA
A6NKT7,M-Norm,0.394238964001508,0.341498100643255,20.6051776749738,0.261533894446439,0.99768989811509,NA
A7E2U8,ctrlH-M,-0.865522502214905,0.803987134330654,7.605176955788,0.314647236206251,0.933647425157431,NA
A7E2U8,ctrlH-Norm,-0.000196645463971382,0.803987134330654,7.605176955788,0.999811140455403,0.99996362042192,NA
A7E2U8,M-Norm,0.865325856750934,0.568504754671945,7.605176955788,0.168416459285297,0.99768989811509,NA
A7E2V4,ctrlH-M,0.381796885407217,0.630591347050729,16.6051774580198,0.553060356565774,0.959300882885108,NA
A7E2V4,ctrlH-Norm,1.0197277725308,0.61539414158752,16.605177458025,0.116284020117905,0.999843706217135,NA
A7E2V4,M-Norm,0.637930887123581,0.496146618627152,16.6051774580357,0.216165055715179,0.99768989811509,NA
A8CG34,ctrlH-M,0.390061607555362,0.346100564283837,19.6051777838658,0.273340509634677,0.933647425157431,NA
A8CG34,ctrlH-Norm,0.183665486668531,0.346100564283837,19.6051777838658,0.601607092035673,0.999843706217135,NA
A8CG34,M-Norm,-0.206396120886831,0.28258992739491,19.6051777838546,0.473800308574063,0.99768989811509,NA
A8MXV4,ctrlH-M,-0.267082313306037,0.284784894853103,20.6051787553879,0.359190979921173,0.933647425157431,NA
A8MXV4,ctrlH-Norm,-0.478307965161466,0.284784894853103,20.6051787553879,0.108147170634744,0.999843706217135,NA
A8MXV4,M-Norm,-0.211225651855429,0.23252589294742,20.6051787553879,0.37417160053425,0.99768989811509,NA
A9UHW6,ctrlH-M,0.0379240793841215,0.383907484292899,10.605176955788,0.923151822008641,0.998441172273122,NA
A9UHW6,ctrlH-Norm,-0.175845437698879,0.3839074842929,10.605176955788,0.656165135266931,0.999843706217135,NA
A9UHW6,M-Norm,-0.213769517083,0.313459148317717,10.605176955788,0.509878028100635,0.99768989811509,NA
B0I1T2,ctrlH-M,-0.0571239670697139,0.322281446548195,20.6051782208501,0.86104382658713,0.993126511918556,NA
